sample_id,group,condition,replicate,sample_num
U1,2,Control_MAD,1,1
U2,2,Control_MAD,2,2
U3,2,Control_MAD,3,3
U7,2,Atmospheric_CO2,1,7
U8,2,Atmospheric_CO2,2,8
U9,2,Atmospheric_CO2,3,9
U10,2,High_CO2_8pct,1,10
U11,2,High_CO2_8pct,2,11
U12,2,High_CO2_8pct,3,12
U13,2,High_Temp_38C,1,13
U14,2,High_Temp_38C,2,14
U15,2,High_Temp_38C,3,15
U16,2,Low_Light_15uE,1,16
U17,2,Low_Light_15uE,2,17
U18,2,Low_Light_15uE,3,18
U19,2,High_Light,1,19
U20,2,High_Light,2,20
U21,2,High_Light,3,21
U34,2,High_NaCl_9pct,1,34
U35,2,High_NaCl_9pct,2,35
U36,2,High_NaCl_9pct,3,36
U37,2,H2O2_0.005pct,1,37
U38,2,H2O2_0.005pct,2,38
U39,2,H2O2_0.005pct,3,39
